semeval_id,sentiment_num,sentiment_orig,source,text,tweet_id
64642600,0,neutral,Semeval-train,Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF's gonna be cuuuuhraaaaaaaazeeeee,257239661976625152
117204603,0,neutral,Semeval-train,@TrevorJavier the heat game may cost alot more...and plus I would rather see Austin Rivers play,264223934403211264
198706982,1,positive,Semeval-train,"Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW!
#getafterit",264041764460036096
43577828,1,positive,Semeval-train,"@TheFFAddict I had Vick and Flacco, needed an upgrade.  Vick may get benched, Jennings a back up again soon. I thought it was a win for me.",264102295392882688
43167117,1,positive,Semeval-train,Looks like Andy the Android may have had a little too much fun yesterday. http://t.co/7ZDEfzEC,264071572925603840
306647135,1,positive,Semeval-train,"@APGPhoto oooh nice .. Tis tempting to go up the lakes with my Nikon ... 
Hmmmm I may do that ..",262115068320284672
864992245,0,neutral,Semeval-train,"BLACK FRIDAY Huge Saving Aerial View of a City, Paris Las Vegas, the Las Vegas Strip, Las Vegas,... http://t.co/DCTgeSED",264239636799430656
100101797,-1,negative,Semeval-train,"@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies,1st she said she was alone &amp;the hosp.now she's saying how weird it was for Keiffer's",257951107530252288
551910244,0,neutral,Semeval-train,"Mohamed Morsi, Egypt's Muslim Brotherhood president, instructed the Supreme Council of the Armed Forces Thursday... http://t.co/NnBeUvSt",236665189502681088
160639448,0,neutral,Semeval-train,"At the first Grammy Awards, held on 4 May 1959, Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year,with Volare",249228128302551040
566521127,1,positive,Semeval-train,@JennetteMcHevan I have studied all day but tomorrow I'm going out with friends! :D Omg Jennette did?!!!! I'm gonna look! &lt;3,263346444772184064
15794878,1,positive,Semeval-train,"Good morning Thursday. ""Life is fragile. We're not guaranteed a tomorrow so give it everything you've got."" - Tim Cook [Do it for Jobs!]",263970913270251520
93655075,1,positive,Semeval-train,#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://t.co/DlXY0LCg,264162997088436224
23346086,1,positive,Semeval-train,@Astrochologist anything. I wondered how the aspects btwn my sun/moon faired with my rising. I also have Venus in Sag...yea lol Thank u :),259821574394355712
49032667,-1,negative,Semeval-train,My teachers call themselves givng us candy....wasn't even the GOOD stuff. I might go to Walmart or CVS tomorrow/,263800856321859584
24144230,0,neutral,Semeval-train,"#Broncos Peyton Manning named AFC Offensive Player of the month. It's his 5th such honor, second to Tom Brady's 6, tied w/ TD.",264011728084410368
23939440,0,neutral,Semeval-train,"Andre's Wigan Warning - #COYS Official Site Wigan might currently occupy 15th place in the Premier League,... http://t.co/3mo7WIWd",264056733691961344
345065738,0,neutral,Semeval-train,"@juice005 strange enough, I'm going to see Noel Gallagher in concert tomorrow  night. #alldayb1tch",261965816906534912
913170146,0,neutral,Semeval-train,How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter,263656013541027840
160465887,-1,negative,Semeval-train,"Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard ... http://t.co/6dZ2hQkD #Raleigh",165044172858986496
142476472,1,positive,Semeval-train,taylor swift is coming with ed sheeran june 29th? most perf news i've heard all night.,264230416897159168
175523498,1,positive,Semeval-train,The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're 4th row center. Plenty of room. Pretty fired up,263809311086628864
372303578,0,neutral,Semeval-train,"@lala_cox There are going to be plenty of ups &amp; downs for Boro,Cardiff,Leicester etc until May.I hope we are still in with a shout for promo",263797084673691648
299885545,-1,negative,Semeval-train,"@joeeewilliams that sucks, amazon might have some left .. hate that i won't have it until 11am on Tuesday though",264162375182217216
33442620,-1,negative,Semeval-train,@rosanne_89 Nooooooooo rosanne! They've just restocked them and me going overseas Sunday means I can't afford them :'(,260193762398064640
478075690,0,neutral,Semeval-train,The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry,256237809147445248
73767786,0,neutral,Semeval-train,"after seeing @Iam_FaithReid's tweet about watching The Vow, I think I may need to watch it.",262977065568051200
90333241,1,positive,Semeval-train,"@jbmclendon And the same station that will air new episodes of COUGAR TOWN in January! @tbsveryfunny has been good to us, Jordan. #PennyCan",262068536187432960
276151090,0,neutral,Semeval-train,Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes.,264215390773727232
615354091,0,neutral,Semeval-train,If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://t.co/9LVKwcYJ,263391524769898496
407729607,1,positive,Semeval-train,Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo!  Don't miss tomorrow night... http://t.co/i9asnsET,260248287255343104
62265830,0,neutral,Semeval-train,"#Nationals 9th Inning had that ""4th Quarter #Redskins"" feel, didn't it?  Coulda swore I saw Cundiff shank one from the mound.",256984347935141888
47208627,1,positive,Semeval-train,Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://t.co/EFc5Cfng,256416307182985216
63808899,0,neutral,Semeval-train,JACKALS GOAL! Jimmy Martin sneaks a rebound past Killeen to give Elmira a 2-1 lead. Bushee &amp; Bellamy with the assists.1:09 left 2nd period,259452211883569152
430519387,1,positive,Semeval-train,"@nater0driguez Lmfao alright u got me there. Good job Parker and the spurs, see y'all jan 9th. If I get an extra ticket to that game ur goin",264222052129574912
159343219,0,neutral,Semeval-train,paul-and5homos: Harry and Louis are just fri- Eleanor is such an inspira- Harry is such a manwho- Louis is... http://t.co/jxxTNlu6,264135339327766528
392639346,0,neutral,Semeval-train,"#web Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday replaced the heads of ...",263079812954992640
509707361,-1,negative,Semeval-train,"""@PaperChasinAL: Damn next Saturday tho"" Niggas was trynna get shit over with #early",264088457490604032
449609540,0,neutral,Semeval-train,and the 4th one is for Harry Styles!! &lt;33333,263132960507703296
200261099,0,neutral,Semeval-train,The Business Leader's Award ceremony will be held during the @wef annual meeting in Davos on the  25 January 2013! http://t.co/YI4r8UFM,253050608322502656
853146211,0,neutral,Semeval-train,@Jordon_Atkins me you and joe gone chill Saturday of i come tho,264203403473850368
610413207,1,positive,Semeval-train,Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle...,256787668367704064
20050520,0,neutral,Semeval-train,It's Radio 1 Rocks next -  week starting off with a Live lounge on @fearnecotton's show with Bullet for my Valentine on Monday,259224351478521856
7532872,1,positive,Semeval-train,Drew Peterson is #Untouchable no more! Check out these movie photos before you watch on Sun at 7/6c: http://t.co/LT9WUkOD,246760239221858304
601803511,0,neutral,Semeval-train,@HotspurRelated im just a 19 year old still on loan for the 3rd time at coventry 79 overall hopefully when i return bale will still be ther,262862262270820352
388974334,1,positive,Semeval-train,PUMPED to open the season tomorrow night against Georgetown!  Women's Preview: http://t.co/1k3PAK3C | Men's Preview: http://t.co/n5oFat9V,264084352340742144
32215290,-1,negative,Semeval-train,Just found a piece of candy that may have been injected with something. #Why,264160761117552640
432174507,0,neutral,Semeval-train,Apple shakeup Mobile software boss eased out: Apple Inc. CEO Tim Cook on Monday pushed out the powerful head of the company&amp;#039;s mo...,263319006063259648
22100843,0,neutral,Semeval-train,"Somehow I managed to ""lose"" my princess leia bra on Saturday. I'm going to Noel Gallagher as ""Glock at Phish"" ie jorts&amp;tank. @custymcnoob",263799123847806976
27133567,0,neutral,Semeval-train,"@docbungle I may relent and get one myself, but I hope it doesn't come to that. Hopefully all the decent apps will get ported to android",263924763423035392
316127177,0,neutral,Semeval-train,"Android 4.2 Camera app with Photo Sphere now available for Galaxy Nexus: Introduced on Monday, Android 4.2 bring... http://t.co/yl8QQP0R",264183514176552960
31121565,1,positive,Semeval-train,"SAEED: #NowPlaying: BEP, Ricky Martin and KT Tunstall! Great songs to get you through your Sunday! Hate the rain!! http://t.co/c9PmolGw",262575945741914112
213263464,0,neutral,Semeval-train,"@juliecrawley25. @GininjaDesign. @Donna_Butlin. Nope, it's just Camden, eating Greek food with a pumpkin... Just another Wednesday.",263921038352580608
785067278,0,neutral,Semeval-train,"FAQ: What is 'skeuomorphic design' and the executive shakeup at Apple: SAN FRANCISCO, CA - MARCH 07:  Apple CEO ... http://t.co/YCvoPl98",263748118091276288
19594426,0,neutral,Semeval-train,Fact of the day; Halloween night is Papa John's second busiest night of the year behind Super Bowl Sunday.,263651627372777472
531994655,1,positive,Semeval-train,Omg. Ricky Martin may be gay but he is one fine ass gay man.,257369508086423552
23075654,0,neutral,Semeval-train,Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday. http://t.co/FmoCg7YK,252798281413967872
446301191,1,positive,Semeval-train,"@HOPE_forHippies Hell yea lmfaoo , &amp; see you tomorrow Asia baby (;",264182638816919552
850357831,0,neutral,Semeval-train,@Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo!,264138191030874112
609103932,0,neutral,Semeval-train,"Its November already.. Christmas will be here soon, then New Year, then Valentine's day then GRADUATION?!?!",263864248952836096
229497776,1,positive,Semeval-train,#NowPlaying Michael Jackson - She's Out of My Life (Live At Wembley July 16. http://t.co/vxRYuADn L.O.V.E it! #MjTunes,263972222677417984
428841738,-1,negative,Semeval-train,Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot,263867263474597888
186089082,0,neutral,Semeval-train,I need another Viv necklace... May buy myself one for Valentines day #nojoke,262661737994670080
18712398,0,neutral,Semeval-train,"Just got tickets to see Muse in Florida. That, combined with the Grammys two weeks prior, equals a really busy February for Ruby and myself.",255690502970671104
217685779,0,neutral,Semeval-train,Battle for the 17th banner: Royal Rumble basketball edition,261632295520333824
244570235,1,positive,Semeval-train,"4th Album out #RED, #20MillionSwifties, 6 Grammy Awards, 10 AMAs, 13 BMI Awards! Reigning Entertainer of the Year ACM!  #6YearsTaylorSwift",261184553337630720
59060233,0,neutral,Semeval-train,"Smooches from Fido: Yea or Nay? - July 6th was International Kissing Day (of the human sort). Later in the month, Ca... http://t.co/ctBrbIFt",226474708487532544
260477688,1,positive,Semeval-train,It's midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!!!!!!!!!! &lt;333,247183266782789632
610495100,-1,negative,Semeval-train,Apple CEO apologizes for error-ridden new map app: Apple CEO Tim Cook apologized Friday for the company's error-ridden new mobile map...,251742524601925632
79601816,0,neutral,Semeval-train,Monta Ellis / Ellis provided just five points on 2-of-13 shooting Thursday http://t.co/AErfHHuK #nba #playersnews,261706811453886464
25393624,0,neutral,Semeval-train,"When I teach a basketball in my own school, we're gonna spend the 1st day watching Larry Bird videos, &amp; the rest will take care of itself.",258989036205662208
747406040,0,neutral,Semeval-train,AT&amp;T offers free cloud storage for iOS and Android AT&amp;T on Thursday announced a new service it calls AT&amp;T Locker th... http://t.co/7yoVkmMX,264084748345962496
41680302,1,positive,Semeval-train,We are here @NBCofChicago for our 12th Anniversary celebration.  You still have time to make it - 6620 S. King Dr,263794433596723200
727519172,0,neutral,Semeval-train,@KarimAndSugar I told you Shane would get his 5th-star on Rivals before Signing Day. @Taylor_McNeill7,237571817550786560
295403177,0,neutral,Semeval-train,@mysticvalley Mitch are you free on Sunday to bale leaves for an hour?  If not no big deal  you can have them for animals,263449315350032384
268248070,1,positive,Semeval-train,Love how I skipped every category of the NTA's besides the soaps. Couldn't give half a fuck if everything else went off the air tomorrow.,252330752665075712
575902991,0,neutral,Semeval-train,New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://t.co/yK9VTjcs,262903244886507520
123520382,0,neutral,Semeval-train,C'mon c'mon does sound like Queen's we will rock you somehow...,264240983032614912
346867096,0,neutral,Semeval-train,Pick the Chelsea team to play Swansea - Chelsea's focus now turns back to the Premier League and on Saturday we make... http://t.co/6Az8JiIz,264055660864487424
19885888,0,neutral,Semeval-train,@MarkUkLeaf I just had a look and it seems Nash to Davos is a done deal along with Joe Thornton. I may have to pay a visit...,247772918384320512
185101254,1,positive,Semeval-train,"@ariaclemente Wow! you're also a percy jackson fan! :-) The 4th book of Heroes of Olympus will be entitled ""House of Hades"" @camphalfblood",262206571201822720
331180650,-1,negative,Semeval-train,Esperance will be without star player Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. #AFRICA,264143294903246848
45671664,-1,negative,Semeval-train,@chrischris__  The Sun: Paolo Di Canio says beating Aston Villa tonight would be like having sex with Madonna. #legend,263247166582173696
141284401,-1,negative,Semeval-train,"OBVIOUSLY, i am not a fan of Dream High 2 and i haven't even watched it! well, i watched the 1st ep,that's where i heard that song!^^",226238092191875072
37007849,1,positive,Semeval-train,"Black History Fact: Marsalis is the 1st and only artist to win both classical and jazz Grammy Awards in one year, and to repeat the next yr",258887925075410944
323297690,1,positive,Semeval-train,Watching David Letterman with no audience but playing like they are still there is the 2nd most brilliant thing I've seen tonight.,263530816162902016
67771614,0,neutral,Semeval-train,Gov. Mitch Daniels will announce his Indiana Supreme Court pick at 10 a.m. Will the 3rd time be the charm for a female member of the panel?,246588959247974400
16380085,0,neutral,Semeval-train,HT: Norwich 0-0 #Spurs. We've edged the 1st half without creating any clear cut chances. Bale's had a couple of decent long range efforts.,263740861031010304
59459031,1,positive,Semeval-train,Breezin' won the Best Pop Instrumental Performance at the 19th Grammy Awards,254600864868749312
341470410,0,neutral,Semeval-train,Snow may fall for parts of CNY the next few days. Find out where the best chances will be at 6:42 am on TV &amp; online: http://t.co/F0Kb0gqD,263953741877764096
160648260,0,neutral,Semeval-train,Cofield draws leadoff walk in top 4th. Zaharion at the plate.,204001339599106048
328656254,0,neutral,Semeval-train,"@BieberGomezTour aww my celebrity day is this thursday also, going as Jennifer Hudson though :)",257332145687785472
497155084,0,neutral,Semeval-train,Sat down to watch Michael Jackson this is it on DVD xx,263976883354480640
163198967,0,neutral,Semeval-train,"On the set of the Axis of the Nigerian Economy, airing every tuesday 8:30pm on NTA international (DSTV) http://t.co/qFvON8Uj",256395784038277120
20096243,1,positive,Semeval-train,"Text from my dad: ""you like Charles Dickens"" 1) obvs looking at my amazon wish list (too late for Sunday) 2) why th surprise?!",261769579544584192
17781471,-1,negative,Semeval-train,Upset alert in ACC men's soccer: #1 Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card.,264167430564237312
28844188,-1,negative,Semeval-train,really bored of this host on Super Sunday doing nothing but talk and rave about Man Utd #BiasPrick,262627821908815872
134881721,1,positive,Semeval-train,Looper was amazing!!! Now to the theatre to see Simon Callow's 'The Mystery of Charles Dickens' ...loving my Wednesday off work :-),258625516481953792
363795716,0,neutral,Semeval-train,"Negros and nigglettes, all who would like to attend the a$ap rocky concert on  November 17th at starland lemme know tickets are only 25",255848522581164032
812898906,1,positive,Semeval-train,"Wish Maddie luck next saturday, she has a solo audition for Britain's Got Talent! :) ~ Ellie xxxxx",264105390818619392
39010302,0,neutral,Semeval-train,% of Joe Pa masks at Penn State Sat? Or will PSU by allow then in the stadium? Is it bad to wear it? @Espngreeny,241225651074527232
580515576,-1,negative,Semeval-train,@MeganWitmer that's crazy. I'm more jealous of u going to Joe Pa's grave! I was sad Saturday when I walked past where the statue should be:(,256018140318822400
27020138,1,positive,Semeval-train,"Mizzou commemorates its win over Kentucky with a T-shirt. No, really. | Dr. Saturday - Yahoo! Sports http://t.co/2u46BvQ6 #fb",263362769011748864
305277813,1,positive,Semeval-train,Happy Valentine's Day!!! @MAziing: Everyday is the 14th!,223045564571459584
441531846,0,neutral,Semeval-train,@xBecx92 it may be Indian time tonite Becky :-) xx,263961750142062592
38615758,1,positive,Semeval-train,Just watched The Campaign with Will Ferrell and Zack Galafianakis... Good fun for a Wednesday. #Hilarious,263704789186117632
22513829,0,neutral,Semeval-train,@sumeetkulkarni Season ends with Superbowl in first week of February.,262778055402090496
32704887,0,neutral,Semeval-train,Crazy I was in a meeting with an old NBA player that was picked 3rd before Larry Bird,260949777687117824
851106050,0,neutral,Semeval-train,"""@Ilovedoobz: @Patty_flipping I did, the other new is in today, northern lights......"" I get payed tomorrow!",264060311764619264
21069858,0,neutral,Semeval-train,"Just finished rehearsing with @DWHY - we are ready for the Kendrick Lamar show tomorrow, shout outs to WVU... http://t.co/d76r8YZH",264202743877615616
800315304,0,neutral,Semeval-train,"I posted 12 photos on Facebook in the album ""Super Sunday wid Shobhit Bhatia......"" http://t.co/9DYtiAxO",262834360129036288
501134907,1,positive,Semeval-train,"Han mon dieu le remix de I am the best dans Dream High 2, je meurs XDDD",228956189000597504
27777925,0,neutral,Semeval-train,"You do not want to miss this tomorrow night.  RJ is moving to Maryland soon, and we have a truly epic set planned... http://t.co/NItJIA5v",264203931645775872
361434318,0,neutral,Semeval-train,Don't forget Mitch Daniels is going to be on Steven Colbert's show Thursday.  Think this will come up as a topic?,260920467324555264
62680567,0,neutral,Semeval-train,@BarackObama: I would think you would do that if you are running for POTUS. It may be part of your job someday.,264127995424423936
245624274,0,neutral,Semeval-train,@kdbowe But how you gon handle it if you are announcing ON SUPER BOWL SUNDAY?!! You might put that gold back in yo grill.,263398004801798144
463441798,0,neutral,Semeval-train,@Dapper_Dan1988 I have plans to go to CVS before work today and get something.  That may be what I get. I'm going to quarantine myself today,263953846492094464
275414774,0,neutral,Semeval-train,iPhone 5: Apple CEO pledges to improve new map app: Apple CEO Tim Cook apologized on Friday for the company's er... http://t.co/7dzvgXNz,252650346873245696
14989779,0,neutral,Semeval-train,"Full Moon:Oct 29th. You can read more if you have your Sun Sign in Libra, Scorpio, Sag, Cap, Aqua or Pisces http://t.co/HNgb7Qn3",262497514995978240
199690203,0,neutral,Semeval-train,"Drew Peterson may be convicted, but there is still conflict going on http://t.co/lmqKV7XZ #whenwillitend #localnews #chicago",256787832453079040
28896087,0,neutral,Semeval-train,@WFAN660 Paterno wouldnt be charged. All hearsay on him and he did do his job (minimal as may be). He reported it. Rest is speculation.,264067944458371072
389925947,-1,negative,Semeval-train,"With all Benson's attention, Frankie feels like a forgotten stepchild. Lets 'founding father' him so he know we will never forget 2nd place.",263918513083781120
724506216,-1,negative,Semeval-train,"Police, protesters clash at Republic Day march in Turkey: On a day marking the 89th anniversary of the founding ... http://t.co/xewokaIE",262954361427222528
337308259,-1,negative,Semeval-train,@buckbelue8 why do you think Murray may leave? No way a team drafts him before the 5th or 6th round!,264074076706983936
521532492,1,positive,Semeval-train,"Aww love you Austin Rivers and happy to see you get start in 1st NBA game...but it's against my boys, LETS GO SPURS! #Spurs #NBA",263795814470664192
242895807,1,positive,Semeval-train,@TeamStradley mines personal thinking Tebow is better then Flacco. I don't care how bad he played Sunday,260851260956221440
155762352,1,positive,Semeval-train,@OilOnWhyte @albertaoilfire another center? Gagner is a good cheap 2nd line option that we can afford and keep the kids.,263646437458452480
131042222,-1,negative,Semeval-train,@politicalwire I'm still shaking my head at that decision and that the Heat &amp; Knick are actually playing tomorrow at MSG.,264187997887541248
463661547,-1,negative,Semeval-train,"the glass may be rising, but it's not getting any warmer here, Lago del Desierto, Argentina http://t.co/Hp4S2M5G",264174898807717888
58297064,1,positive,Semeval-train,Wish I could make that trip to Athens on Tuesday @iCaptainMorgan,264245625682554880
610467658,0,neutral,Semeval-train,"Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday pushed out the powerful hea...",263186967615905792
36210889,0,neutral,Semeval-train,I'm hosting the Day party @ Spartacus Friday From 2-6 and then @ Spy in Raleigh that night!,262953053659996160
129412273,0,neutral,Semeval-train,"""Eli Manning hopes the Giants can uplift the spirits of the millions affected by Sandy in NY with their game against the Steelers on Sunday""",263701469289644032
465974864,0,neutral,Semeval-train,@_AllBelongs2Me_ the McCormick Place....rite here by the hyatt hotel on like 23rd nd King Dr.,225956951136292864
124869414,1,positive,Semeval-train,"Fabio Capello: ""From what I've seen these days I can assure you Russia are capable of getting a good result vs Portugal tomorrow"". #cantwait",256340930414645248
17436164,0,neutral,Semeval-train,@bbberb not necessarily. In Nevada it may help Obama because its one less vote for Romney. But I know what you mean hah.,264139268249763840
535941624,0,neutral,Semeval-train,"@_Sherwood12 he's on the plane to Amsterdam now, bet he's not in class tomorrow",264155231804346368
494035942,1,positive,Semeval-train,@_bethanygarland I really wanna go to one of his things! Did you watch his new thing on channel 4 last Friday? xx,264063574035533824
214139359,-1,negative,Semeval-train,I -may- be the only girl on the face of the earth that DOESN'T find Channing Tatum attractive. #callmecrazy #justsayin #donthateme,263640783863816192
327913057,1,positive,Semeval-train,"Obama may have been better off staying put, personally I'm glad he's back on the trail- he's helping move people to Mitt!",264173041146290176
28207562,0,neutral,Semeval-train,"Cold pizza and Mass Effect 3. I want my leg healed!! Going to look up some voodoo shit. I'll be walking, jumping and running tomorrow.",259535556055269376
25181326,1,positive,Semeval-train,"Remember Cupid at Convo last year with the bomb candy bar?? If you liked that, you'll LOVE next Tuesday's Tr http://t.co/af9hu4pU",261545687106322432
59055457,0,neutral,Semeval-train,Channing tatum will be in white oak tomorrow...for all you stalkers out there,263453340925583360
287288414,0,neutral,Semeval-train,@Brett_Elliott8 I fly that Saturday the 15th from Detroit to Amsterdam then up to Newcastle,264152762026184704
281520735,0,neutral,Semeval-train,#hulu Video Game Trailers - Launch Trailer: Check out the launch trailer for Mass Effect 3. Added: Fri Oct 26 00... http://t.co/XsbCPkVe,261624197380460544
28660297,1,positive,Semeval-train,@Pastorjoshg @corylethgo @KevinCabe @kcabe21 I'd watch Cougar Town over this any day! January 8 on TBS. Very funny. #firedooley,257315024354279424
268893346,0,neutral,Semeval-train,Of course it's Aston Villa.  Played them off the park on Saturday.  Bring it on!,263773432750157824
372547953,-1,negative,Semeval-train,Give me 5 mins with Candy the dancer from Deja Vu I'm nutting on my 4th pump she that bad lol,264169849067028480
263579038,1,positive,Semeval-train,"@heeydems Do you know ?they may not but we're so fond of all the countries . Uh,happy Republic Day .",263718726627627008
70257698,1,positive,Semeval-train,"Thank you snow for cancelling classes today. Now you may stop snowing, so that I can drive to Chapel Hill tomorrow. I'd really appreciate it",263331726942691328
223305414,1,positive,Semeval-train,Chick in my class said Flacco is the best QB in the league. 1- why is a chick talkin football. 2. I cant wait for class tomorrow lol,260232337051230208
14931166,1,positive,Semeval-train,#entrepreneur #angelinvestor pitch in on the new birthday party / Super Bowl Sunday treat http://t.co/HcU3990c,264243566207975424
200276624,1,positive,Semeval-train,think i might go see flight tomorrow just because Denzel Washington ..,264188304747003904
41202626,0,neutral,Semeval-train,Mohamed Nasheed's Press brief about CONI report - 31 Aug 2012: http://t.co/niN6zHhn via @youtube,241625219050123264
67845619,0,neutral,Semeval-train,Calling all reality TV fans: We're inviting LI reality TV stars to join a Google+ Hangout on Sunday and you can too. http://t.co/WzO0bhVm,261563757212360704
62631820,-1,negative,Semeval-train,"Honesty is often best policy: Fabio Capello, Russia coach: ""I was hoping Ronaldo's injury was more serious so he couldn't play tomorrow.""",256408189157916672
59342982,0,neutral,Semeval-train,"Dinner in Athens with my friend, @stevebeuerlein. Preparing for our game on @SEConCBS this Saturday. #OleMiss #Georgia http://t.co/4QqWxtnd",264221978607636480
51887927,1,positive,Semeval-train,"@Yvette_Elena :) Most def, i think when you come tomorrow the boys will be here.",264218982926655488
243903348,-1,negative,Semeval-train,This is Austin Rivers 1st game and people sucking him he a rookie chill !,263803981384515584
429312292,0,neutral,Semeval-train,@goatmilkstuff Hello. May I ask how did you get on set of Castle?,264247456424935424
182784794,-1,negative,Semeval-train,"@HockeyyInsiderr "" @OilersNow: Gagner's agent says talks continue, will have hearing on Friday if no deal"" MSM just proved you're #clueless!",225311712008617984
283223567,1,positive,Semeval-train,"Im enjoying Celebrity Juice instead of sleep, going to be fooked tomorrow though",262696171703783424
40362193,1,positive,Semeval-train,"The Woman In Black - the legendary ghost thriller, touring to Dubai and Abu Dhabi in November &amp; December. More... http://t.co/2uz56zci",244715076228096000
27952164,0,neutral,Semeval-train,Can it please be Wednesday and POTUS has been re elected. Then we can move this country #Forward!,264107216578174976
57722479,0,neutral,Semeval-train,Jacksonville really sound like the move tomorrow,264214318327947264
832164745,-1,negative,Semeval-train,@JessieWagnon @tcswagg NOOOOOOOOO!!!!!! Maybe you can just look over it right before the test tomorrow and do that first,258349170107224064
329047546,0,neutral,Semeval-train,#hcafc loan keeper Ben Amos named in the England under-21s side to face Azerbaijan next Thursday and Norway on Sept 10.,240753714661584896
120627815,0,neutral,Semeval-train,@SteveRattner @JoeNBC @morningmika My friends and I are betting Joe wets his pants when he sees the whopping Mittens will get Nov 6,264182339536564224
175060800,-1,negative,Semeval-train,@ahmedthalib waheed proposed mdp to join the  gov prior CoNI's verdict. 7 feb controversial power transfer refrained mdp joining the govt.,242989716893478912
19816683,0,neutral,Semeval-train,Me and @hayleyrose booked in to see A Good Day To Die Hard on February 14 2013 (Valentine's day).,264113005078405120
112878558,1,positive,Semeval-train,"""@AmianaTyransky: Frankie: I think I'm gonna have a date with my bed tomorrow Me: same."" That's my boy",264208558336389120
